Formación,Serie,Composición,1,2,3,4,5,6,¿Reformada?
A,Alstom Metropolis,Triplas,Rca101,M101,Mp101,Mp102,M122,Rcb101,Si
B,Alstom Metropolis,Triplas,Rca102,M102,Mp103,Mp104,M103,Rcb102,Si
D,Alstom Metropolis,Triplas,Rca104,M104,Mp107,Mp108,M125,Rcb104,Si
E,Alstom Metropolis,Triplas,Rca105,M119,Mp109,Mp110,M132,Rcb105,No
F,Alstom Metropolis,Triplas,Rca106,M106,Mp111,Mp112,M105,Rcb106,No
G,Alstom Metropolis,Triplas,Rca107,M107,Mp113,Mp114,M126,Rcb107,No
H,Alstom Metropolis,Triplas,Rca108,M108,Mp115,Mp116,M128,Rcb108,No
I,Alstom Metropolis,Triplas,Rca109,M109,Mp117,Mp118,M129,Rcb109,No
J,Alstom Metropolis,Triplas,Rca110,M110,Mp119,Mp120,M130,Rcb110,No
K,Alstom Metropolis,Triplas,Rca111,M111,Mp121,Mp132,M131,Rcb111,No
L,Alstom Metropolis,Triplas,Rca112,M112,Mp123,Mp124,M117,Rcb112,No
L,Fiat Materfer,Duplas,26A,26B,25A,25B,29A,29B,No
M,Alstom Metropolis,Triplas,Rca113,M113,Mp125,Mp126,M118,Rcb113,No
M,Fiat Materfer,Duplas,1A,1B,11A,11B,7A,7B,No
N,Alstom Metropolis,Triplas,Rca114,M115,Mp127,Mp128,M114,Rcb114,No
N,Fiat Materfer,Triplas,35A,4C,35B,17A,14C,17B,No
O,Alstom Metropolis,Triplas,Rca115,M127,Mp129,Mp130,M120,Rcb115,No
P,Alstom Metropolis,Triplas,Rca116,M116,Mp131,Mp106,M121,Rcb116,No
Q,Fiat Materfer,Triplas,22A,1C,22B,23A,15C,23B,No
S,Fiat Materfer,Triplas,39A,13C,39B,36A,6C,36B,No
T,Fiat Materfer,Duplas,3A,3B,6A,6B,15A,15B,No
U,Fiat Materfer,Triplas,40A,7C,40B,41A,12C,41B,No
V,Fiat Materfer,Duplas,8A,8B,38A,38B,32A,32B,Si
Y,Fiat Materfer,Triplas,10A,9C,10B,42A,3C,42B,No
Z,Fiat Materfer,Duplas,33A,33B,21A,21B,34A,34B,No
