Formacion,Serie,Composición,1,2,3,4,5,Esquema
1A,CNR Citic,Dupla + Tripla,Rca201,Mpa201,Mpb201,M201,Rc201,Metrovías metalizado (mod SBASE)
2B,CNR Citic,Dupla + Tripla,Rca202,Mpa202,Mpb202,M202,Rc202,Metrovías metalizado (mod SBASE)
3C,CNR Citic,Dupla + Tripla,Rca203,Mpa203,Mpb203,M203,Rc203,Metrovías metalizado (mod SBASE)
4D,CNR Citic,Dupla + Tripla,Rca204,Mpa204,Mpb204,M204,Rc204,Metrovías metalizado (mod SBASE)
5E,CNR Citic,Dupla + Tripla,Rca205,Mpa205,Mpb205,M205,Rc205,Metrovías metalizado (mod SBASE)
6F,CNR Citic,Dupla + Tripla,Rca206,Mpa206,Mpb206,M206,Rc204,Metrovías metalizado (mod SBASE)
7G,CNR Citic,Dupla + Tripla,Rca207,Mpa207,Mpb207,M207,Rc207,Metrovías metalizado (mod SBASE)
8H,CNR Citic,Dupla + Tripla,Rca208,Mpa208,Mpb208,M208,Rc208,Metrovías metalizado (mod SBASE)
9I,CNR Citic,Dupla + Tripla,Rca209,Mpa209,Mpb209,M209,Rc209,Metrovías metalizado (mod SBASE)
11,CNR Citic,Dupla + Tripla,Rca211,Mpa211,Mpb211,M211,Rc211,Metrovías metalizado (mod SBASE)
12,CNR Citic,Dupla + Tripla,Rca212,Mpa212,Mpb212,M212,Rc212,Metrovías metalizado (mod SBASE)
U,Fiat Materfer,Tripla + Dupla,12A,16C,12B,9A,9B,Metrovías (mod SBASE)
V,Fiat Materfer,Dupla + Tripla,4B,4A,43B,16CB,43A,Metrovías (mod SBASE)
W,Fiat Materfer,Dupla + Tripla,31A,31B,28A,10C,28B,Bicentenario
X,Fiat Materfer,Dupla + Tripla,24A,24B,27A,16C,27B,Metrovías (mod SBASE)
Y,Fiat Materfer,Tripla + Dupla,30A,2C,30B,45A,45B,Metrovías (mod SBASE)
