Formacion,Serie,Composición,1,2,3,4,5,Estado operativo,Estado integral,Esquema
1A,CNR Citic,Dupla + Tripla,Rca201,Mpa201,Mpb201,M201,Rc201,Operativo,Original,Metrovías metalizado (mod SBASE)
2B,CNR Citic,Dupla + Tripla,Rca202,Mpa202,Mpb202,M202,Rc202,Operativo,Original,Metrovías metalizado (mod SBASE)
3C,CNR Citic,Dupla + Tripla,Rca203,Mpa203,Mpb203,M203,Rc203,Operativo,Original,Metrovías metalizado (mod SBASE)
4D,CNR Citic,Dupla + Tripla,Rca204,Mpa204,Mpb204,M204,Rc204,Operativo,Original,Metrovías metalizado (mod SBASE)
5E,CNR Citic,Dupla + Tripla,Rca205,Mpa205,Mpb205,M205,Rc205,Operativo,Original,Metrovías metalizado (mod SBASE)
6F,CNR Citic,Dupla + Tripla,Rca206,Mpa206,Mpb206,M206,Rc204,Operativo,Original,Metrovías metalizado (mod SBASE)
7G,CNR Citic,Dupla + Tripla,Rca207,Mpa207,Mpb207,M207,Rc207,Operativo,Original,Metrovías metalizado (mod SBASE)
8H,CNR Citic,Dupla + Tripla,Rca208,Mpa208,Mpb208,M208,Rc208,Operativo,Original,Metrovías metalizado (mod SBASE)
9I,CNR Citic,Dupla + Tripla,Rca209,Mpa209,Mpb209,M209,Rc209,Operativo,Original,Metrovías metalizado (mod SBASE)
10,CNR Citic,Dupla + Tripla,Rca210,Mpa210,Mpb210,M210,Rc210,En espera,Original,Metrovías metalizado (mod SBASE)
11,CNR Citic,Dupla + Tripla,Rca211,Mpa211,Mpb211,M211,Rc211,Operativo,Original,Metrovías metalizado (mod SBASE)
12,CNR Citic,Dupla + Tripla,Rca212,Mpa212,Mpb212,M212,Rc212,Operativo,Original,Metrovías metalizado (mod SBASE)
13,CNR Citic,Dupla + Tripla,Rca213,Mpa213,Mpb213,M213,Rc213,Taller,Original,Metrovías metalizado (mod SBASE)
15,CNR Citic,Dupla + Tripla,Rca215,Mpa215,Mpb215,M215,Rc215,Operativo,Original,Metrovías metalizado (mod SBASE)
17,CNR Citic,Dupla + Tripla,Rca217,Mpa217,Mpb217,M217,Rc217,Operativo,Original,Metrovías metalizado (mod SBASE)
18,CNR Citic,Dupla + Tripla,Rca218,Mpa218,Mpb218,M218,Rc218,Operativo,Original,Metrovías metalizado (mod SBASE)
19,CNR Citic,Dupla + Tripla,Rca219,Mpa219,Mpb219,M219,Rc219,Traslado,Original,Metrovías metalizado (mod SBASE)
U,Fiat Materfer,Tripla + Dupla,12A,16C,12B,9A,9B,Operativo,Original,Metrovías (mod SBASE)
V,Fiat Materfer,Dupla + Tripla,4B,4A,43B,16CB,43A,Operativo,Original,Metrovías (mod SBASE)
W,Fiat Materfer,Dupla + Tripla,31A,31B,28A,10C,28B,Operativo,Original,Bicentenario
X,Fiat Materfer,Dupla + Tripla,24A,24B,27A,16C,27B,Operativo,Original,Metrovías (mod SBASE)
Y,Fiat Materfer,Tripla + Dupla,30A,2C,30B,45A,45B,Operativo,Original,Metrovías (mod SBASE)
