Formación,Serie,Composición,1,2,3,4,5,6,Estado funcional,Estado integral,Esquema,¿AA?,Tipo de iluminación
A,Alstom Metropolis 100,Triplas,Rca101,M101,Mp101,Mp102,M122,Rcb101,Operativo,Reparado,Metrovías metalizado (mod SBASE),Si,LED de tonos cálidos
B,Alstom Metropolis 100,Triplas,Rca102,M102,Mp103,Mp104,M103,Rcb102,Operativo,Reparado,Metrovías metalizado (mod SBASE),Si,LED de tonos cálidos
C,Alstom Metropolis 100,Triplas,Rca103,M???,Mp105,Mp106,M???,Rcb103,Desafectado,Original,Metrovías metalizado,No,Tubo fluorescente
D,Alstom Metropolis 100,Triplas,Rca104,M104,Mp107,Mp108,M125,Rcb104,Operativo,Reparado,Metrovías metalizado (mod SBASE),Si,LED de tonos cálidos
E,Alstom Metropolis 100,Triplas,Rca105,M119,Mp109,Mp110,M132,Rcb105,Operativo,Original,Metrovías metalizado (mod SBASE),No,Tubo fluorescente
F,Alstom Metropolis 100,Triplas,Rca106,M106,Mp111,Mp112,M105,Rcb106,Operativo,Reparado,Metrovías metalizado (mod SBASE),Si,LED de tonos cálidos
G,Alstom Metropolis 100,Triplas,Rca107,M107,Mp113,Mp114,M126,Rcb107,Operativo,Original,Metrovías metalizado (mod SBASE),No,Tubo fluorescente
H,Alstom Metropolis 100,Triplas,Rca108,M108,Mp115,Mp116,M128,Rcb108,Operativo,Original,Metrovías metalizado (mod SBASE),No,Tubo fluorescente
I,Alstom Metropolis 100,Triplas,Rca109,M109,Mp117,Mp118,M129,Rcb109,Operativo,Original,Metrovías metalizado (mod SBASE),No,Tubo fluorescente
J,Alstom Metropolis 100,Triplas,Rca110,M110,Mp119,Mp120,M130,Rcb110,Operativo,Original,Metrovías metalizado (mod SBASE),No,Tubo fluorescente
J,Fiat Materfer,Duplas,37A,37B,18A,18B,2A,2B,Operativo,Original,Metrovías (mod SBASE),No,Tubo fluorescente
K,Alstom Metropolis 100,Triplas,Rca111,M111,Mp121,Mp132,M131,Rcb111,Operativo,Original,Metrovías metalizado (mod SBASE),No,Tubo fluorescente
L,Alstom Metropolis 100,Triplas,Rca112,M112,Mp123,Mp124,M117,Rcb112,Operativo,Original,Metrovías metalizado (mod SBASE),No,Tubo fluorescente
L,Fiat Materfer,Duplas,26A,26B,25A,25B,29A,29B,Operativo,Original,Metrovías (mod SBASE),No,Tubo fluorescente
M,Alstom Metropolis 100,Triplas,Rca113,M113,Mp125,Mp126,M118,Rcb113,Operativo,Original,Metrovías metalizado (mod SBASE),No,Tubo fluorescente
M,Alstom Metropolis 300,Sextupla,Rca314,Ma314,Mb314,Mc314,Md314,Rcb314,Alistamiento,Original,Metrovías metalizado (mod SBASE),Si,LED de tonos fríos
M,Fiat Materfer,Duplas,1A,1B,11A,11B,7A,7B,Operativo,Original,Metrovías (mod SBASE),No,Tubo fluorescente
N,Alstom Metropolis 100,Triplas,Rca114,M115,Mp127,Mp128,M114,Rcb114,Operativo,Original,Metrovías metalizado (mod SBASE),No,Tubo fluorescente
N,Fiat Materfer,Triplas,35A,4C,35B,17A,14C,17B,Operativo,Original,Metrovías (mod SBASE),No,Tubo fluorescente
O,Alstom Metropolis 100,Triplas,Rca115,M127,Mp129,Mp130,M120,Rcb115,Operativo,Original,Metrovías metalizado (mod SBASE),No,Tubo fluorescente
P,Alstom Metropolis 100,Triplas,Rca116,M116,Mp131,Mp106,M121,Rcb116,Operativo,Original,Metrovías metalizado (mod SBASE),No,Tubo fluorescente
Q,Fiat Materfer,Triplas,22A,1C,22B,23A,15C,23B,Operativo,Original,Bicentenario,No,Tubo fluorescente
S,Fiat Materfer,Triplas,39A,13C,39B,36A,6C,36B,Operativo,Original,Metrovías (mod SBASE),No,Tubo fluorescente
T,Fiat Materfer,Duplas,3A,3B,6A,6B,15A,15B,Operativo,Original,Metrovías (mod SBASE),No,Tubo fluorescente
U,Fiat Materfer,Triplas,40A,7C,40B,41A,12C,41B,Operativo,Original,Desconocido,No,Tubo fluorescente
V,Fiat Materfer,Duplas,8A,8B,38A,38B,32A,32B,Operativo,Reparado,Metrovías (mod SBASE),No,Tubo fluorescente
Y,Fiat Materfer,Triplas,10A,9C,10B,42A,3C,42B,Operativo,Original,Esquema original,No,Tubo fluorescente
Z,Fiat Materfer,Duplas,33A,33B,21A,21B,34A,34B,Operativo,Original,Bicentenario y Metrovías (en dupla central),No,Tubo fluorescente
